,Cluster_Index,Latitude,Longitude,Month,X,crime,danger_index,hours,minutes
0,0,27.1504766,76.354956,2013-08-15,121.0,Violence and Offence,12,20,1
1,0,27.2263334,76.484893,2014-04-12,133.0,Kidnap,12,13,5
2,0,27.1687954,76.4732664,2013-10-12,253.0,Violence and Offence,12,5,48
3,0,27.2009331,76.5378002,2014-01-22,287.0,Rape,12,8,3
4,0,27.1356732,76.4028328,2013-06-29,300.0,Murder,12,19,32
5,0,27.1775758,76.5087474,2013-11-09,334.0,Robery,12,8,18
6,0,27.226536,76.4990922,2014-04-13,386.0,Murder,12,4,48
7,0,27.0818619,76.4005594,2013-01-09,424.0,Pick,12,22,0
8,0,27.1861297,76.4350505,2013-12-06,529.0,Kidnap,12,6,8
9,0,27.1590391,76.4752422,2013-09-11,576.0,Rape,12,15,17
10,0,27.2493443,76.3695231,2014-06-24,650.0,Violence and Offence,12,3,2
11,0,27.1020584,76.3999666,2013-03-14,731.0,Murder,12,13,6
12,0,27.236377,76.4752931,2014-05-14,1019.0,Kidnap,12,20,2
13,0,27.1593802,76.3773538,2013-09-12,1090.0,Murder,12,8,18
14,0,27.214646,76.4633826,2014-03-06,1109.0,Hit And Run,12,19,55
15,0,27.1210665,76.3908216,2013-05-13,1135.0,Chain,12,22,51
16,0,27.1803524,76.5408018,2013-11-17,1209.0,Chain,12,19,14
17,0,27.19161,76.3952582,2013-12-23,1346.0,Pick,12,18,16
18,0,27.1240999,76.4648299,2013-05-23,1383.0,Robery,12,2,18
19,0,27.156577,76.5219226,2013-09-03,1495.0,Violence and Offence,12,15,29
20,0,27.1456749,76.4998825,2013-07-30,1814.0,Rape,12,15,0
21,0,27.2596056,76.4275061,2014-07-27,1891.0,Hit And Run,12,3,32
22,0,27.2213465,76.3552071,2014-03-27,1893.0,Pick,12,4,42
23,0,27.1418631,76.3542954,2013-07-18,2054.0,Kidnap,12,11,5
24,0,27.1904939,76.4253851,2013-12-19,2167.0,Chain,12,16,41
25,0,27.2886743,76.4303435,2014-10-27,2390.0,Rape,12,12,26
26,0,27.2310456,76.3759212,2014-04-27,2392.0,Murder,12,13,39
27,0,27.1315111,76.5004588,2013-06-15,2421.0,Kidnap,12,21,10
28,0,27.1987927,76.4305456,2014-01-15,2458.0,Robery,12,1,14
29,0,27.219452,76.4923092,2014-03-21,2465.0,Murder,12,19,46
30,0,27.2567784,76.4428532,2014-07-18,2487.0,Kidnap,12,0,36
31,0,27.1938837,76.3789361,2013-12-30,2528.0,Violence and Offence,12,9,50
32,0,27.1896468,76.5103521,2013-12-17,2603.0,Robery,12,15,33
33,0,27.2147934,76.466689,2014-03-07,2643.0,Hit And Run,12,6,36
34,0,27.2377116,76.3784548,2014-05-18,2759.0,Rape,12,9,52
35,0,27.1600224,76.45716,2013-09-14,2937.0,Violence and Offence,12,10,33
36,0,27.1213221,76.3616466,2013-05-14,2944.0,Kidnap,12,13,19
37,0,27.145965,76.4568771,2013-07-31,3013.0,Murder,12,9,32
38,0,27.1320723,76.3585381,2013-06-17,3139.0,Murder,12,13,34
39,0,27.1748428,76.390595,2013-10-31,3210.0,Robery,12,6,43
40,0,27.1565131,76.3996217,2013-09-03,3217.0,Chain,12,1,46
41,0,27.091178,76.4480055,2013-02-07,3243.0,Hit And Run,12,7,32
42,0,27.244058,76.3750313,2014-06-07,3319.0,Murder,12,13,8
43,0,27.2001829,76.3615505,2014-01-19,3430.0,Hit And Run,12,0,55
44,0,27.1455011,76.4996563,2013-07-30,3484.0,Rape,12,4,49
45,0,27.1844233,76.4757673,2013-11-30,3620.0,Murder,12,16,57
46,0,27.1124938,76.4620453,2013-04-16,3719.0,Kidnap,12,18,0
47,0,27.162147,76.4431962,2013-09-21,3743.0,Rape,12,1,55
48,0,27.2430256,76.4225417,2014-06-04,3772.0,Rape,12,7,58
49,0,27.2022698,76.3760872,2014-01-26,3794.0,Murder,12,2,15
50,0,27.2473014,76.4550715,2014-06-18,3803.0,Murder,12,18,1
51,0,27.1808751,76.3456744,2013-11-19,3913.0,Pick,12,13,23
52,0,27.1512045,76.3327103,2013-08-17,3971.0,Hit And Run,12,19,58
53,0,27.18392,76.3930948,2013-11-29,3983.0,Murder,12,10,39
54,0,27.1196797,76.4257578,2013-05-09,4051.0,Murder,12,15,31
55,0,27.2445947,76.3477202,2014-06-09,4355.0,Rape,12,17,16
56,0,27.1248207,76.3505675,2013-05-25,4370.0,Hit And Run,12,16,15
57,0,27.1880069,76.3613877,2013-12-12,4444.0,Robery,12,15,23
58,0,27.1421018,76.3710601,2013-07-19,4475.0,Murder,12,14,26
59,0,27.2469741,76.3882995,2014-06-17,4544.0,Kidnap,12,13,5
60,0,27.2288558,76.522482,2014-04-20,4547.0,Murder,12,9,34
61,0,27.2034766,76.4740679,2014-01-30,4657.0,Violence and Offence,12,9,4
62,0,27.2036753,76.452678,2014-01-30,4692.0,Pick,12,22,35
63,0,27.173699,76.3698659,2013-10-27,4742.0,Chain,12,8,8
64,0,27.1831611,76.5421638,2013-11-26,4958.0,Kidnap,12,20,24
65,0,27.2519926,76.4749648,2014-07-03,4977.0,Pick,12,21,38
66,0,27.1095425,76.471582,2013-04-07,4981.0,Violence and Offence,12,19,28
67,0,27.2265253,76.4096283,2014-04-13,5057.0,Chain,12,19,4
68,0,27.1614837,76.5039711,2013-09-18,5118.0,Murder,12,19,18
69,0,27.252523,76.3616958,2014-07-04,5190.0,Murder,12,8,23
70,0,27.1696917,76.5237978,2013-10-15,5200.0,Chain,12,0,7
71,0,27.2441044,76.4242429,2014-06-08,5240.0,Chain,12,4,48
72,0,27.1918474,76.4556373,2013-12-24,5244.0,Kidnap,12,2,34
73,0,27.1002122,76.4152482,2013-03-08,5342.0,Chain,12,17,40
74,0,27.2508444,76.4735819,2014-06-29,5450.0,Kidnap,12,19,16
75,0,27.181991,76.5073479,2013-11-23,5481.0,Chain,12,2,29
76,0,27.109426,76.3965576,2013-04-06,5526.0,Robery,12,22,5
77,0,27.1427374,76.378515,2013-07-21,5563.0,Robery,12,13,16
78,0,27.2632495,76.3815102,2014-08-07,5625.0,Kidnap,12,16,15
79,0,27.1448421,76.471528,2013-07-28,5633.0,Murder,12,12,49
80,0,27.2122751,76.468989,2014-02-27,5698.0,Murder,12,7,5
81,0,27.1443658,76.4867191,2013-07-26,5708.0,Hit And Run,12,14,3
82,0,27.2372339,76.4083101,2014-05-17,5815.0,Violence and Offence,12,12,52
83,0,27.2074874,76.4586673,2014-02-11,5920.0,Rape,12,12,8
84,0,27.1786437,76.4014369,2013-11-12,6029.0,Rape,12,15,37
85,0,27.268181,76.4122006,2014-08-23,6072.0,Robery,12,6,23
86,0,27.2412223,76.4375436,2014-05-29,6087.0,Kidnap,12,12,38
87,0,27.1856976,76.5039395,2013-12-04,6112.0,Rape,12,3,28
88,0,27.2328546,76.4625646,2014-05-03,6188.0,Rape,12,16,27
89,0,27.2296619,76.4219939,2014-04-23,6207.0,Murder,12,12,30
90,0,27.2138693,76.4767615,2014-03-04,6451.0,Kidnap,12,20,6
91,0,27.1854079,76.5409568,2013-12-03,7076.0,Murder,12,1,21
92,0,27.2891659,76.4563085,2014-10-28,7175.0,Robery,12,11,46
93,0,27.2141664,76.3940388,2014-03-05,7188.0,Hit And Run,12,17,6
94,0,27.1657759,76.5012661,2013-10-02,7438.0,Kidnap,12,7,25
95,0,27.2519829,76.4548354,2014-07-03,7450.0,Murder,12,7,2
96,0,27.1948735,76.4103468,2014-01-02,7501.0,Violence and Offence,12,21,50
97,0,27.2258508,76.4088639,2014-04-11,7663.0,Pick,12,4,16
98,0,27.2843326,76.41401,2014-10-13,7674.0,Rape,12,8,5
99,0,27.2102488,76.4910493,2014-02-20,7890.0,Pick,12,19,23
100,0,27.2285579,76.4603768,2014-04-19,7901.0,Hit And Run,12,12,23
101,0,27.2349749,76.5098124,2014-05-10,7925.0,Chain,12,4,57
102,0,27.239759,76.4990269,2014-05-25,7931.0,Pick,12,3,6
103,0,27.2254132,76.4518546,2014-04-09,8146.0,Kidnap,12,2,16
104,0,27.1799098,76.5045344,2013-11-16,8149.0,Pick,12,9,43
105,0,27.2434143,76.4842951,2014-06-05,8167.0,Kidnap,12,13,40
106,0,27.224036,76.4576568,2014-04-05,8222.0,Kidnap,12,6,34
107,0,27.2765314,76.4659739,2014-09-18,8387.0,Violence and Offence,12,19,49
108,0,27.0744287,76.4163924,2012-12-16,8435.0,Robery,12,0,3
109,0,27.1887346,76.5591749,2013-12-14,8443.0,Hit And Run,12,10,21
110,0,27.1967384,76.3395112,2014-01-08,8724.0,Violence and Offence,12,5,53
111,0,27.2152853,76.4197591,2014-03-08,8865.0,Chain,12,8,46
112,0,27.1327234,76.4200918,2013-06-19,9006.0,Robery,12,12,17
113,0,27.1650404,76.4228484,2013-09-30,9024.0,Robery,12,1,54
114,0,27.1188826,76.352487,2013-05-06,9193.0,Pick,12,0,41
115,0,27.1164494,76.3537281,2013-04-29,9274.0,Violence and Offence,12,10,8
116,0,27.1625195,76.5046599,2013-09-22,9373.0,Kidnap,12,8,45
117,0,27.2137786,76.4457826,2014-03-03,9389.0,Chain,12,17,6
118,0,27.1767063,76.5452542,2013-11-06,9486.0,Pick,12,0,51
119,0,27.2646297,76.4024099,2014-08-12,9537.0,Chain,12,3,43
120,0,27.2314247,76.4399594,2014-04-28,9603.0,Rape,12,11,23
121,0,27.169396,76.3808861,2013-10-14,9679.0,Rape,12,18,49
122,0,27.2384559,76.3715025,2014-05-21,9887.0,Pick,12,16,39
123,0,27.1999073,76.4144881,2014-01-18,9895.0,Chain,12,19,42
124,0,27.1187521,76.4489158,2013-05-06,9988.0,Murder,12,18,5
125,0,27.1131232,76.4819811,2013-04-18,9990.0,Hit And Run,12,10,58
126,0,27.2408359,76.4862751,2014-05-28,10030.0,Pick,12,19,38
127,0,27.1753803,76.3986367,2013-11-02,10074.0,Kidnap,12,4,28
128,0,27.2336432,76.3671887,2014-05-05,10108.0,Murder,12,0,28
129,0,27.21009,76.4423019,2014-02-20,10132.0,Pick,12,8,49
130,0,27.1823395,76.4883191,2013-11-24,10181.0,Rape,12,20,20
131,0,27.2585191,76.38762,2014-07-23,10262.0,Murder,12,22,42
132,0,27.1947734,76.5079676,2014-01-02,10320.0,Hit And Run,12,6,38
133,0,27.2330755,76.3347926,2014-05-04,10355.0,Murder,12,3,30
134,0,27.2433654,76.4044636,2014-06-05,10460.0,Hit And Run,12,13,21
135,0,27.2209173,76.5054602,2014-03-26,10469.0,Chain,12,8,2
136,0,27.1943786,76.4990891,2014-01-01,10643.0,Pick,12,0,34
137,0,27.1313483,76.4763456,2013-06-15,10704.0,Violence and Offence,12,15,6
138,0,27.2117214,76.4268346,2014-02-25,10728.0,Robery,12,3,50
