"","X","Month","Longitude","Latitude","hours","minutes","crime"
"1",1,"2011-01-10",75.2673019,26.8516523,12,34,"Rape"
"2",2,"2009-06-26",75.6693151,26.6741284,13,23,"Kidnap"
"3",3,"2010-10-05",76.3957014,26.8212948,1,38,"Hit And Run"
"4",4,"2009-09-04",76.096861,26.6961485,14,16,"Rape"
"5",5,"2015-04-20",76.4147479,27.3439616,19,49,"Chain"
"6",6,"2007-10-05",76.3607049,26.4757338,11,19,"Kidnap"
"7",7,"2005-06-15",76.1267955,26.2101117,0,34,"Robery"
"8",8,"2007-08-20",75.8311368,26.4610475,0,26,"Robery"
"9",9,"2008-05-20",75.8248401,26.5475383,10,20,"Murder"
"10",10,"2006-02-20",75.8327986,26.2888979,20,55,"Chain"
"11",11,"2011-06-03",76.6695771,26.897248,19,21,"Rape"
"12",12,"2009-02-25",76.3785745,26.6359848,18,34,"Rape"
"13",13,"2005-05-17",76.9521949,26.2010381,13,32,"Chain"
"14",14,"2005-01-11",75.3784407,26.1611529,14,37,"Hit And Run"
"15",15,"2007-04-27",76.8406553,26.424701,3,2,"Robery"
"16",16,"2006-06-03",76.8155382,26.3215003,18,57,"Kidnap"
"17",17,"2009-08-28",75.5625434,26.6942034,20,57,"Robery"
"18",18,"2013-11-20",76.160994,27.1811777,1,25,"Kidnap"
"19",19,"2014-10-30",75.5699113,27.2895462,17,24,"Robery"
"20",20,"2006-11-29",76.3908387,26.3779631,11,51,"Rape"
"21",21,"2012-07-25",76.60729,27.0289841,18,43,"Rape"
"22",22,"2009-12-16",76.5570207,26.72881,16,25,"Violence and Offence"
"23",23,"2014-10-31",76.2461526,27.2899606,12,51,"Murder"
"24",24,"2014-07-01",75.6801134,27.25147,4,48,"Pick"
"25",25,"2011-01-15",75.9364469,26.8533798,1,30,"Hit And Run"
"26",26,"2010-03-15",75.7817759,26.7567571,15,17,"Kidnap"
"27",27,"2005-02-08",76.1566036,26.1700271,3,52,"Robery"
"28",28,"2007-04-23",76.2611779,26.423469,14,48,"Violence and Offence"
"29",29,"2011-07-24",75.6214251,26.9132271,6,0,"Pick"
"30",30,"2007-06-18",76.6792507,26.44116,10,4,"Kidnap"
"31",31,"2013-06-04",76.5765634,27.1279119,10,37,"Robery"
"32",32,"2010-08-09",75.3091651,26.8030792,10,49,"Robery"
"33",33,"2015-08-20",76.5792327,27.3824471,14,28,"Hit And Run"
"34",34,"2013-03-26",76.3211903,27.1059429,20,48,"Robery"
"35",35,"2005-10-24",76.6793388,26.2513022,15,28,"Violence and Offence"
"36",36,"2005-06-21",76.6044841,26.2118784,22,38,"Hit And Run"
"37",37,"2008-06-18",75.5640488,26.5566714,5,19,"Murder"
"38",38,"2012-11-10",75.6804899,27.0629811,2,17,"Pick"
"39",39,"2011-07-18",76.84384,26.9112361,6,15,"Pick"
"40",40,"2011-10-17",76.753313,26.940001,9,41,"Violence and Offence"
"41",41,"2015-09-04",76.2754932,27.3871413,4,53,"Hit And Run"
"42",42,"2007-07-18",75.7230925,26.4507757,0,6,"Chain"
"43",43,"2005-11-09",76.1670859,26.2565863,22,11,"Robery"
"44",44,"2012-08-23",76.9966569,27.0381554,17,50,"Violence and Offence"
"45",45,"2006-11-09",76.1441561,26.3715172,13,48,"Robery"
"46",46,"2007-10-19",76.8816964,26.4800642,11,15,"Violence and Offence"
"47",47,"2006-02-27",75.277824,26.2911193,16,44,"Violence and Offence"
"48",48,"2014-04-30",75.8781206,27.2318811,12,27,"Chain"
"49",49,"2011-05-29",76.5867138,26.895545,14,12,"Kidnap"
"50",50,"2015-05-22",76.8596037,27.353918,4,21,"Robery"
"51",51,"2010-09-08",76.3607807,26.8127843,9,8,"Murder"
"52",52,"2012-09-15",76.5137295,27.0454664,20,30,"Pick"
"53",53,"2006-08-06",76.6139623,26.3414915,20,51,"Rape"
"54",54,"2005-12-29",76.476648,26.2721571,5,0,"Pick"
"55",55,"2011-05-18",75.2654762,26.8921386,15,27,"Hit And Run"
"56",56,"2011-09-14",75.7591196,26.9295851,5,1,"Pick"
